date	intc
19730131	0.009999835
19730228	-0.150009267
19730330	0.067060339
19730430	0.082952317
19730531	-0.110350724
19730629	0.125160202
19730731	0.485507816
19730831	0.111228267
19730928	0.21092521
19731031	0.13475814
19731130	-0.275345153
19731231	0.172843448
19740131	0.130747521
19740228	0.14495712
19740329	-0.178959216
19740430	0.150848089
19740531	0.138630868
19740628	-0.161190401
19740731	-0.595421738
19740830	-0.164544509
19740930	-0.494689842
19741031	0.478300366
19741129	-0.122958907
19741231	-0.151043844
19750131	0.29039838
19750228	0.380769329
19750331	0.168332498
19750430	0.21843649
19750530	0.044284792
19750630	0.017889033
19750731	-0.128481309
19750829	0.106969221
19750930	0.080039631
19751031	-0.027124567
19751128	0.020410286
19751231	-0.013561543
19760130	0.15755915
19760227	0.089191499
19760331	0.157576234
19760430	-0.033587808
19760528	-0.014230779
19760630	-0.021744712
19760730	-0.037317725
19760831	-0.070894679
19760930	-0.008193475
19761029	-0.103994782
19761130	0.035878596
19761231	0.051510271
19770131	-0.105827291
19770228	0.009257021
19770331	-0.138147746
19770429	-0.111848182
19770531	0.023394209
19770630	0.140014084
19770729	0
19770831	-0.051556487
19770930	0.041458592
19771031	-0.118423241
19771130	0.055567148
19771230	-0.010868853
19780131	-0.010990171
19780228	-0.129596288
19780331	0.060991613
19780428	0.212438456
19780531	0.0648416
19780630	0.069292826
19780731	0.117320707
19780831	0.045460819
19780929	-0.027032097
19781031	-0.147329
19781130	0.051557759
19781229	0.009999835
19790131	0.085764767
19790228	0.044648265
19790330	0.123102197
19790430	0.024790169
19790531	0.04959936
19790629	0.106969221
19790731	-0.029418512
19790831	0.130414039
19790928	0.087736114
19791031	-0.004008021
19791130	0.1029446
19791231	-0.014596005
19800131	0.00732312
19800229	0.049827721
19800331	-0.145511439
19800430	-0.008062414
19800530	0.1037382
19800630	-0.033401677
19800731	0.249216674
19800829	0.030412806
19800930	0.018370229
19801031	-0.0576503
19801128	0.104170808
19801231	-0.143512467
19810130	-0.080299407
19810227	-0.062088192
19810331	0.034971313
19810430	0.040412311
19810529	0.082326252
19810630	-0.12963044
19810731	-0.064303882
19810831	-0.186016374
19810930	-0.143096997
19811030	0.160723318
19811130	-0.13041625
19811231	-0.104805114
19820129	0.14384057
19820226	-0.019325541
19820331	0.119408381
19820430	0.090973517
19820528	-0.036218026
19820630	0.028286148
19820730	0.03137269
19820831	0.130150684
19820930	-0.114816191
19821029	0.121580262
19821130	0.029850022
19821231	0.012985325
19830131	0.104071685
19830228	0.078256498
19830331	0.036939266
19830429	0.025580024
19830531	0.145458728
19830630	0.263371449
19830729	0.077460916
19830831	0.018458587
19830930	0.00608147
19831031	-0.088667293
19831130	0.100713736
19831230	0.005972131
19840131	-0.133531393
19840229	0.013518216
19840330	-0.034136062
19840430	-0.028173163
19840531	-0.125404505
19840629	-0.020447635
19840731	0.008226073
19840831	0.16579406
19840928	-0.149533024
19841031	-0.110752806
